422	90.08
422	90.08
422	84.74
422	84.74
422	98.19
422	98.19
1872	70.49
1872	70.49
422	96.23
422	96.23
422	97.00
422	97.00
422	51.60
422	51.60
422	99.50
422	99.50
422	76.92
422	76.92
422	95.09
422	95.09
433	28.32
433	28.32
2032	47.76
2032	47.76
422	94.78
422	94.78
422	57.54
422	57.54
422	97.11
422	97.11
422	86.58
422	86.58
422	92.99
422	92.99
422	98.92
422	98.92
422	84.59
422	84.59
422	96.96
422	96.96
1872	72.04
1872	72.04
422	81.61
422	81.61
422	92.52
422	92.52
422	82.47
422	82.47
422	99.36
422	99.36
