2028	52.10
86	41.40
2320	36.76
2390	26.71
163	44.67
2001	23.25
385	23.76
1896	61.42
197	47.51
152	12.00
1822	46.24
2262	63.17
1468	61.64
287	29.04
753	37.44
2346	38.05
1192	36.75
641	42.63
2482	44.39
1893	58.15
2105	31.11
985	63.76
272	25.21
1053	29.19
1970	32.82
1309	19.47
1690	46.11
206	27.34
110	44.00
55	41.75
2083	36.26
2463	16.18
472	24.01
2038	20.96
9	40.08
415	14.89
2393	33.45
2006	54.45
1980	48.51
1706	49.64
366	31.05
1343	38.91
880	18.17
253	17.21
923	35.23
1110	23.97
74	47.36
618	20.03
185	24.77
676	28.88
211	34.05
1835	46.63
153	26.15
1157	49.10
1666	45.35
1893	23.92
93	23.27
1827	22.75
1320	44.01
1893	35.29
278	10.89
798	31.82
664	31.68
887	37.17
1239	45.34
108	39.38
466	26.04
119	16.88
350	14.37
778	46.54
2046	48.54
1976	17.84
1085	98.07
2142	47.39
519	13.77
2244	8.29
1343	25.87
224	43.01
2002	16.23
419	43.19
961	17.20
1610	45.97
189	10.66
695	58.20
1827	51.20
1102	33.69
2494	43.53
472	28.21
392	16.05
208	40.98
1893	24.94
702	49.61
2083	21.16
2199	32.84
1893	42.73
1893	92.65
1324	27.28
1420	33.01
1832	34.58
283	31.47
695	34.12
1825	47.81
2002	26.21
120	46.01
110	20.67
107	14.03
299	22.27
2487	21.51
2232	40.33
586	44.13
199	53.11
702	42.27
1379	22.83
235	35.67
676	30.58
1410	49.54
2086	41.31
1837	47.59
1687	16.84
46	30.58
421	22.07
43	31.78
1742	76.24
1110	33.66
1686	49.17
1115	46.01
466	14.11
490	21.65
163	43.69
417	25.12
2196	37.85
432	99.85
1410	18.92
22	22.91
1515	50.00
2196	28.93
1085	26.81
711	31.70
466	40.50
2151	30.41
340	22.76
438	46.05
1607	27.05
2093	47.77
115	12.78
613	28.96
1374	37.41
1844	50.05
1008	17.45
498	49.98
312	61.15
377	22.72
1656	75.91
583	45.67
378	39.99
366	18.67
2301	39.09
1020	27.54
1697	32.13
2384	43.03
372	52.99
1040	48.43
454	50.94
370	29.06
1085	42.64
1298	24.19
149	28.06
519	46.63
1690	31.41
1298	8.38
702	63.33
1008	31.18
149	29.32
1489	20.71
163	66.96
1340	98.56
79	11.05
2115	46.36
1803	37.74
2101	9.01
702	27.86
533	44.31
2494	45.88
505	99.86
595	23.14
664	40.06
821	16.83
245	21.11
158	38.95
465	26.84
423	49.67
161	74.56
1365	33.36
471	49.37
938	40.99
455	24.61
245	22.48
2268	31.96
623	33.15
438	76.12
1553	29.39
1691	45.91
274	21.85
1173	24.20
506	49.02
1627	27.46
340	99.28
1016	49.41
959	53.83
23	44.34
1945	42.10
941	21.62
1110	29.49
2280	49.74
2109	46.09
1494	38.22
1818	21.14
508	47.04
964	59.15
879	40.94
1723	45.26
324	76.48
374	20.00
93	28.84
491	40.23
892	13.93
845	35.08
1286	45.10
1115	23.78
485	14.63
472	42.70
923	31.50
2355	33.11
779	44.49
492	33.10
615	84.39
583	71.75
170	60.03
472	61.09
299	20.33
2412	94.50
2008	49.69
1617	14.29
1002	17.58
1514	99.24
1436	27.98
583	48.67
77	56.26
1825	40.20
222	27.77
1533	45.30
2495	23.55
677	39.21
472	34.80
58	39.09
867	35.61
702	44.22
478	45.85
330	48.39
325	72.41
784	25.10
472	77.27
2503	74.22
1756	21.08
39	27.62
2320	25.08
1024	30.96
443	22.36
2024	32.22
752	56.46
1935	47.68
928	25.86
456	23.29
1173	21.88
466	46.04
752	39.11
1749	16.44
761	34.67
452	14.35
359	37.68
1953	30.83
2268	42.43
2011	31.19
360	65.35
2180	8.81
987	65.52
63	22.95
2450	45.38
438	25.69
519	30.57
382	46.13
299	48.18
161	48.09
2486	49.16
497	23.43
544	98.47
2337	57.87
291	45.54
1939	14.25
1521	29.79
2108	41.63
