minimum length: 100
maximum length: 4476411
[630000,640000]: 3.5879036391594055e-09
[640000,650000]: 2.5627883136852895e-09
[650000,660000]: 4.6130189646335215e-09
[660000,670000]: 3.5879036391594055e-09
[670000,680000]: 2.5627883136852895e-09
[680000,690000]: 4.6130189646335215e-09
[690000,700000]: 4.6130189646335215e-09
[700000,710000]: 4.100461301896464e-09
[710000,720000]: 4.6130189646335215e-09
[720000,730000]: 4.100461301896464e-09
[730000,740000]: 4.100461301896464e-09
[740000,750000]: 1.5376729882111735e-09
[750000,760000]: 4.100461301896464e-09
[760000,770000]: 3.075345976422347e-09
[770000,780000]: 4.6130189646335215e-09
[780000,790000]: 2.5627883136852895e-09
[790000,800000]: 5.12557662737058e-10
[800000,810000]: 2.5627883136852895e-09
[810000,820000]: 3.5879036391594055e-09
[820000,830000]: 1.5376729882111735e-09
[830000,840000]: 2.050230650948232e-09
[840000,850000]: 5.12557662737058e-10
[850000,860000]: 1.5376729882111735e-09
[860000,870000]: 2.050230650948232e-09
[870000,880000]: 1.5376729882111735e-09
[880000,890000]: 1.5376729882111735e-09
[890000,900000]: 1.025115325474116e-09
[900000,910000]: 1.025115325474116e-09
[910000,920000]: 1.5376729882111735e-09
[920000,930000]: 1.025115325474116e-09
[930000,940000]: 5.12557662737058e-10
[940000,950000]: 1.5376729882111735e-09
[950000,960000]: 1.025115325474116e-09
[960000,970000]: 2.5627883136852895e-09
[970000,980000]: 1.025115325474116e-09
[980000,990000]: 2.050230650948232e-09
[990000,1000000]: 2.050230650948232e-09
[1000000,1010000]: 2.5627883136852895e-09
[1010000,1020000]: 2.5627883136852895e-09
[1030000,1040000]: 2.050230650948232e-09
[1040000,1050000]: 2.050230650948232e-09
[1050000,1060000]: 5.12557662737058e-10
[1060000,1070000]: 2.050230650948232e-09
[1070000,1080000]: 1.025115325474116e-09
[1080000,1090000]: 1.5376729882111735e-09
[1090000,1100000]: 1.5376729882111735e-09
[1100000,1110000]: 2.050230650948232e-09
[1120000,1130000]: 1.025115325474116e-09
[1130000,1140000]: 1.5376729882111735e-09
[1140000,1150000]: 1.025115325474116e-09
[1150000,1160000]: 5.12557662737058e-10
[1160000,1170000]: 5.12557662737058e-10
[1170000,1180000]: 2.050230650948232e-09
[1180000,1190000]: 1.025115325474116e-09
[1190000,1200000]: 1.5376729882111735e-09
[1200000,1210000]: 1.5376729882111735e-09
[1220000,1230000]: 1.025115325474116e-09
[1240000,1250000]: 5.12557662737058e-10
[1250000,1260000]: 1.5376729882111735e-09
[1260000,1270000]: 2.050230650948232e-09
[1280000,1290000]: 1.025115325474116e-09
[1290000,1300000]: 5.12557662737058e-10
[1300000,1310000]: 5.12557662737058e-10
[1310000,1320000]: 1.5376729882111735e-09
[1320000,1330000]: 1.025115325474116e-09
[1330000,1340000]: 1.025115325474116e-09
[1350000,1360000]: 5.12557662737058e-10
[1360000,1370000]: 5.12557662737058e-10
[1370000,1380000]: 5.12557662737058e-10
[1380000,1390000]: 1.025115325474116e-09
[1390000,1400000]: 1.025115325474116e-09
[1410000,1420000]: 1.025115325474116e-09
[1420000,1430000]: 5.12557662737058e-10
[1430000,1440000]: 2.050230650948232e-09
[1450000,1460000]: 1.025115325474116e-09
[1460000,1470000]: 5.12557662737058e-10
[1480000,1490000]: 1.025115325474116e-09
[1490000,1500000]: 5.12557662737058e-10
[1510000,1520000]: 1.025115325474116e-09
[1520000,1530000]: 1.5376729882111735e-09
[1530000,1540000]: 5.12557662737058e-10
[1560000,1570000]: 1.025115325474116e-09
[1570000,1580000]: 1.025115325474116e-09
[1580000,1590000]: 5.12557662737058e-10
[1600000,1610000]: 5.12557662737058e-10
[1610000,1620000]: 1.5376729882111735e-09
[1620000,1630000]: 2.050230650948232e-09
[1630000,1640000]: 5.12557662737058e-10
[1660000,1670000]: 1.025115325474116e-09
[1670000,1680000]: 1.5376729882111735e-09
[1680000,1690000]: 1.025115325474116e-09
[1690000,1700000]: 5.12557662737058e-10
[1700000,1710000]: 1.025115325474116e-09
[1720000,1730000]: 1.5376729882111735e-09
[1730000,1740000]: 1.025115325474116e-09
[1760000,1770000]: 5.12557662737058e-10
[1790000,1800000]: 5.12557662737058e-10
[1800000,1810000]: 1.5376729882111735e-09
[1810000,1820000]: 5.12557662737058e-10
[1820000,1830000]: 1.025115325474116e-09
[1840000,1850000]: 5.12557662737058e-10
[1870000,1880000]: 5.12557662737058e-10
[1890000,1900000]: 5.12557662737058e-10
[1930000,1940000]: 1.025115325474116e-09
[1940000,1950000]: 5.12557662737058e-10
[1980000,1990000]: 5.12557662737058e-10
[1990000,2000000]: 5.12557662737058e-10
[2020000,2030000]: 5.12557662737058e-10
[2030000,2040000]: 5.12557662737058e-10
[2050000,2060000]: 5.12557662737058e-10
[2060000,2070000]: 5.12557662737058e-10
[2070000,2080000]: 5.12557662737058e-10
[2110000,2120000]: 1.5376729882111735e-09
[2120000,2130000]: 5.12557662737058e-10
[2160000,2170000]: 5.12557662737058e-10
[2170000,2180000]: 5.12557662737058e-10
[2190000,2200000]: 1.025115325474116e-09
[2210000,2220000]: 5.12557662737058e-10
[2230000,2240000]: 1.025115325474116e-09
[2240000,2250000]: 1.025115325474116e-09
[2260000,2270000]: 1.5376729882111735e-09
[2280000,2290000]: 5.12557662737058e-10
[2290000,2300000]: 1.025115325474116e-09
